airline_sentiment,text
positive,@united thanks ... not sure arranged move to the earlier flight but I'm at the gate with a seat assignment.  Super nice agent at gate C4 ORD
negative,@united is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.
negative,@USAirways it takes a month?
positive,@AmericanAir Lady at B1 ABQ for 5347 on 2/23 was of a great service to all among several Cancelled Flightlations
neutral,@SouthwestAir my ticket was booked 1/27 to CUN. Does the arrival time reflect that CUN is now on EST time?
negative,@united my mother's flight was delayed from phl-ord. We're on our way to NRT and the gate refused to upgrade. A platinum.  Blegh
positive,@united thanks. Just a program comment; the system assigned seats behind each other even though pairs were available. I changed it back.
negative,@usairways @BarclaycardUS 1 hr wait so far for customer service. yes bad weather but do air traffic controllers answer your phones?!??
positive,@JetBlue u the real MVP http://t.co/jWL26G6lRw
neutral,@AmericanAir @cityandsand we're trying to coordinate an airport hand-off of Nutella! #veryimportantproject
negative,"@AmericanAir said that AA does not provide in-flight wifi on the routes to China based on some federal laws, but United does, why is that?"
negative,@SouthwestAir  how many others didn't know you are stopping non stop flights to ATL and from to Hartford Ct as of April ?
negative,"@AmericanAir I paid extra $ for my seat &amp; the monitor didn't work from on AA111. How about a refund on the seat? Conf #: MDBEEI, McMullen"
negative,@JetBlue now we are waiting over an half hr for the packages. What's wrong with you guys?? http://t.co/wVGpp3Ymz1
negative,@JetBlue when your flights delayed :)))&gt;&gt;&gt;
negative,@AmericanAir I have been on hold 3 hours.  2 seconds of it with a rude agent.
negative,@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times
negative,@united did our bags leave Washington yet? That would be convenient seeing as we left there a day ago. #UnitedAirlines #lostluggage
negative,@SouthwestAir Fastest response all day. Hour on the phone: never got off hold. Hour in line: never got to the Flight Booking Problems desk.
negative,@USAirways @MrRenevendez I've been trying to contact them for 24 hours already! Yesterday I waited 7 hours today 5+! http://t.co/gn30p75KqB
negative,@united severely under staffed at Iah.
negative,@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet.
neutral,@SouthwestAir safety back in Dallas!
positive,@united look at this beauty 😉 dc 10 united airlines 😉 http://t.co/MvYoizRPdE
negative,"@united Funny thing happened, we arrived on our flight from Denver at the same gate we are currently scheduled to depart for Sydney at! LOL!"
negative,@AmericanAir I need refund.
negative,@SouthwestAir on hold for over an hour twice?  Terrible.
negative,@USAirways your service in Philly is unacceptable. Look into better service✌️ a 16 yr old shouldnt have a hard time http://t.co/WDAKTmr7Mj
negative,@USAirways 2 hours and counting waiting to get into a gate in Philadelphia. Just icing on the cake for a miserable flight experience
negative,@united Of course. That was the start of my trip 3 wks. ago. Its gone further downhill on my return.
negative,"@JetBlue - Yes. Best case scenario I get my gear Late Flight Friday, early Saturday. Camp starts at 6AM tomorrow #toolittletooLate Flight"
negative,"@USAirways yes thanks I have never seen anything like this and I come to Yuma all the time, big disappointment. There are 40+ still waiting"
negative,@AmericanAir 953 our  fligth Somthing to talk  about this?
negative,@USAirways if you actually cared about what you did it would be one thing. Sounds like you don't like being told how lousy your service is.
negative,@JetBlue delayed flight bummer
negative,"@usairways now on hold for an hour. So frustrating, I suspect you have more operators come in on days like this w/inclement weather?"
positive,@united met with agent. All taken care of. Thx for reply
negative,"@united MR, she's on her way now, but thought id detail the extravaganza for you... #dobetter #please http://t.co/V8PVpHMtZc"
negative,@AmericanAir don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now
negative,".@SouthwestAir glad you appreciate it, it’ll be the last dollar you ever get from me thanks to your wretched customer service"
neutral,@USAirways my wife left her phone on flight AWE474 on Friday February 20th upon landing in Minneapolis. How can we get it back? Thanks!
negative,@USAirways half an inch of snow in Charlotte #overwhelming
negative,@USAirways surely there are some other ways to help me - I can't really afford another 4 hours now. Pls follow me so we can DM
negative,"@USAirways @garywerk poor excuse. I was towards front of plane, no sandwiches, we have to pay for them, should have more"
positive,@SouthwestAir I got it added thank you! :)
neutral,"@AmericanAir we then had to deplane, and change planes."
negative,@USAirways can't get back lost time
positive,@SouthwestAir looking forward to the beats music available on my flight today. That's pretty cool.
negative,"@united because of the horrific flight experience, you guys have made me NEVER want to fly on an airplane every again!!!!!!!"
neutral,@virginamerica.. Can you help? Left my blazer in. Kooples jacket bag at 3rd row second seat from right gate 36 T3 lax.. Flight to sfo
negative,@SouthwestAir What's up with the new in-flight WiFi service? Super crappy user experience. Miss the old provider. :(
negative,@united Thanks for the lack of help and the canned response from the 1K desk!
negative,@SouthwestAir 2 hours on hold for customer service never us SW again
negative,@JetBlue Highlight of my travel is 3 hour delay and de-icing twice. Now sitting in bumper to bumper traffic in taxi to finally get home. 😒
negative,@USAirways please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
negative,@AmericanAir pleaseeee find my suitcase. I want deoderant and a clean shirt for work tomorrow :(
neutral,@JetBlue are there any food places open at the JFK T5 24//?
negative,@JetBlue That is not very gracious of @jetblue to tell me where I can go BUY water or a snack when our flight is delayed over 3 hours.
negative,@AmericanAir called executive platinum desk and got a TWO HOUR call back time... 2.5 hrs Late Flightr still no call and still stuck in Chicago
neutral,“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man
neutral,@united Thanks!  Good to know.
negative,"@AmericanAir why do #exp members have to wait ""over 2 hours"" to speak with an operator? Surely this is a mistake?"
negative,@united accordingly? U dont respond at all
negative,@united just tried to log in and was told e-mail log in not currently available
negative,@AmericanAir Also do you have any way to speak to someone on the phone? Your 1-800 # has been hanging up on me all day.
negative,@AmericanAir you Cancelled Flightled my wife's flight and she has to call but your service won't even let us. Going on 7 hours now.
positive,@united Thanks for the timely service &amp; great staff getting my wife and me to and from Cancun this past week for our honeymoon.
neutral,"@JetBlue #flyingitforward Pereira, Colombia to help the kids from Cartago streets and deliver a lot of clothes that I have picked to donate."
negative,@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund
negative,@JetBlue customer service says since my wife setup a family account that she now can't join mine for a year???  Help me fix please.
positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
negative,@SouthwestAir well I'm not sure what there is you can do.  The bad experience had already been had
negative,@AmericanAir crew did the best they could but it was out of their control. You only get one chance of a honeymoon &amp; you failed miserably
negative,@USAirways Credit to my bank account for the two days of work that I've missed because of these Cancelled Flightlations.
neutral,@AmericanAir - trying to track down backs for two of my attendees #help
positive,@JetBlue Thank you!
negative,@SouthwestAir Service rep didn't say I was dumb just had the tone of voice like I should have known about it.
negative,@USAirways not patient - originally 11:51 and now 4:41.
negative,"@JetBlue well, now I'll make sure to never fly JetBlue"
positive,@VirginAmerica your inflight team makes the experience #amazing!
neutral,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek
neutral,@SouthwestAir I would but you need to follow me first ;-)
negative,"@SouthwestAir customer svc worse than the #WinterWeather !  Flight Cancelled Flighted, website malfunction, on hold for &gt;1:34. http://t.co/PgwUkrpMOx"
negative,@AmericanAir why won't u deliver my luggage? Almost two days and holding on the phone for over 4 hrs. Help!
neutral,@united are there any upgrades avail to get us all on the same flight
neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
negative,@USAirways Plus a US Airways - you need to do something about this! I left Philly to thaw out!!!! http://t.co/pKy7ZhnNRH
negative,@united unhappy with your new mileage rules :( - was my main reason to keep flying united. Will have to take my business elsewhere
negative,@united I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly @United again.
positive,@JetBlue Done! Also looks like you opened some up on my flight to Vegas on Sunday! 💙
negative,@JetBlue you guys need live chat.
positive,@SouthwestAir My Fav!!!!
negative,"@united Thank you. Mention that before I boarded she asked 1other person to measure their bag, and it was another woman. Men not asked."
negative,@united just changed again.  This is crazy! #YourAgentsHaveNoClue http://t.co/A37N3oHOKL
positive,@AmericanAir thanks!
neutral,@united chase says no referral bonus. Thanks.
negative,@JetBlue thanks for the update. 'Preciate it. Hope it gets here. Been delayed 2 days getting back
negative,@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues. Could we have gotten a new plane!?!? Fail
negative,"@AmericanAir no vouchers 4 Cancelled Flighted flight due 2 weather. Today's issue, broken tire. No vouchers cause tire was broken by weather. #nomoAA"
neutral,@JetBlue hi I flew with your airline once in Australia and saw zero kangaroos. Had this been rectified
positive,@united thank you for flying me out of the mess at IAD and out to San Diego. http://t.co/tlPBaupIk5
negative,@AmericanAir we have been sitting on the plane for over an hour. unacceptable. you have a complete disregard for customer service.
negative,"@united 2/2 Instead, had to wait on plane from Ottawa that never came. Now I'm back home and have to try again tomorrow. Suitcase still lost"
negative,@USAirways this is so unacceptable. I'm going for the day. Now most of my day will be sitting on your plane. Not to mention there is no air
negative,@USAirways hello! I never received a confirmation code for my flights (though they are confirmed--so says the automated reply). Any ideas?
neutral,@SouthwestAir The Opal Dragon book The Dragon (ALI) has woven his murdering ways from the Philippines to Australia http://t.co/c9p2ioSphM
negative,"@SouthwestAir thanks, but they told him he couldn’t a few hours ago, then my plane left  after I tried to do it. Stuck waiting for hours now"
neutral,"@JetBlue's CEO #pilots among ardent fans, Wall Street - Poughkeepsie Journal http://t.co/FRhuXiB8II"
neutral,@SouthwestAir can I use points to book a rental car?
positive,"@JetBlue @JayVig @roxydigital awww ^_^ R to the T, realtime appreciation from JetBlue #rockingthetweets #JVMChat"
negative,@USAirways not best pleased with service so far. On our third gate and still no guarantee that it's the correct one :(
negative,@USAirways headed to NYC from CLT. Funny to hear all phones ring at once and then the entire plane groan (has happened twice more).
neutral,@JetBlue tell the truth - this is a pic of your social media community managers isn't it? http://t.co/e2AXlqzWvh
negative,"@united -- overFlight Booking Problems planes, Departing delayed, Returning for 'more quick fixes' &amp; breaking out attitudy-customer service? #worstairline"
positive,"@united okay - thanks for your help, JT! I appreciate your time!"
neutral,@united any last minute flight deals for your cute little #frequentflyer ??? :)))) my Friday flight was Cancelled Flightled!!
negative,@SouthwestAir no delay. I pay $777.70 for BS A1 ticket. You boarded flight early. I'm last to board. Now have middle seat. Wasted $$$$!
negative,"@JetBlue this is ridiculous we are on 1.5 hours coming up of waiting to deplane, there are are newborns on board"
negative,@AmericanAir your service is horrible. I can't get a straight answer from your ground agents.
negative,".@united You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time."
positive,@JetBlue Thanks. I'm finding lower fares already on other carriers with direct flights. July 8 - 13.
negative,@United also ran out of water and refused service #costumerservice #legit #jk
negative,@AmericanAir @derekc21  Hello any one out there ? have you forgotten me ?  I need a  luggage # for BA.  Your dropping the ball here .
negative,@united Why do I have to pay $ 17 for wifi with an international business ticket?  #pennypincher
neutral,@USAirways yes - tells me the only way to mod plans is to call the 4322 number.
positive,@AmericanAir oh it's nothing my issue was already resolved and I am in the air
positive,@JetBlue okay. The new screens are laptop-large &amp; real nice &amp; the wifi is appreciated. Thanks god for this tiny lil man in the middle seat.
negative,"@AmericanAir I am looking for help on USAirways award travel booked for wife and two boys, no seats assigned."
negative,@USAirways I have been trying to book a flight using my miles for 3 straight days. 210 min on phone - still haven't talked to a human.
neutral,"@JetBlue me again :) you don't have ABC on Inflight TV, do you? (If so, what channel? #SharkTank is on!)"
neutral,@USAirways my TSA precheck isn't showing up on my boarding pass for my flight tomorrow...help!? #USAirways #TSAPreCheck
negative,@JetBlue still sitting in plane in Newburg. This is getting #ridiculous. No way to treat #loyal customers.
negative,@united no wheelchairs
neutral,@SouthwestAir #stepup #makeitright re you best? Or just money hungry? #wewillsee
negative,"@united Useless response. I need a functioning wheelchair, not a customer care form to fill out."
negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative,@SouthwestAir I know one thing @Delta would NEVER treat their customers like this!!!!
positive,@JetBlue this is lovely!
neutral,@SouthwestAir Not possible to carry-on and put in a closet/overhead? Had success doing that with other airlines. Thanks
negative,"@USAirways he waited over two hours on the phone, had to book and get to MI, family member very ill, time of the essence"
neutral,@JetBlue I applied for a job at PDW where could I go for follow up. I'd really love the job #ilovejetblue
neutral,@SouthwestAir Thank you!
negative,@united @MaxAbrahms *if* he needs assistance? Do you expect him to go on a Scooby Doo tour of terminals until he finds his stuff?
positive,@USAirways customer service at its best! Rachel S.  took great care of us at the PHX airport. http://t.co/HG7vEqhGHy
negative,@JetBlue U said 15mins to Take Off and now we were told 1hr more delay &amp; possible Cancelled Flightlation. How do U plan to rectify this? #Frustrated
neutral,"@SouthwestAir schedule is open through the end of October, got Columbus day wknd in New England for ~50K points for 4! Check your calendar!"
negative,@JetBlue Oh no! I thought it did. :(
negative,@united is the worst http://t.co/27aitZl6nd
neutral,“@JetBlue: Our fleet's on fleek. http://t.co/t2qBGAMfpc” this happened
negative,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies
neutral,RT @JetBlue: Our fleet's on fleek. http://t.co/WEZUMDimYF
negative,@JetBlue you're customer service is terrible. #NeverAgain #flywhonotblue
negative,@AmericanAir we're still here guys - you are the worst
negative,@USAirways I'm sorry as well. It's been 24 hrs without my bag and I can't get a straight answers. I'm on call #6 for today.
positive,@SouthwestAir Scott is the best!!! Thank yo from the bottom of my heart💕#DestinationDragons with friends in LA @HayleyMad see u Friday
neutral,@SouthwestAir your hold music sounds like it's from Super Mario Bros for gameboy color
neutral,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Broadway World http://t.co/dS22ceeEnj
negative,@USAirways yes I know the industry procedure on baggage. Thanks for helping..... 😉 what about the impossible connection that started this?
negative,@united nope. Really. No window at all for 10A. 10F has one. 8 and 11 has one. None for 10A. So sad...
negative,@united no claim number. Haven't been back to iAd baggage since. Is there a phone I can call to speak to someone?
neutral,@JetBlue when can we start Flight Booking Problems flights for November?
negative,@AmericanAir what are the odds my bag was picked up by someone not me while in another country? Because it says it hasn't been located yet.
positive,@united you have a guy named Otis at ORD that knows what #customerservice is. he was able to get my bag to me. I upgraded just to be sure
negative,@USAirways big problem!!! Fll to clt then got off on clt but my fly to gso is Cancelled Flightled had to rent a car to get to my pops funeral
positive,"@USAirways Thank you, busy times."
negative,"@SouthwestAir Flight 2078 to Balt hit turbulence, babies cried, kids vomited. Chaos. Flight attendant Caroline was a superhero."
neutral,@united  no thanks
negative,@JetBlue we now have to get off of the plane and wait another 1-2 hours for someone at the @BuffaloAirport to read the temp. #tired
neutral,@SouthwestAir can you show me some luv?Its 9 degrees and all this snow but Imdetermined to go to #DestinationDragons http://t.co/oXm6cWGaB7
neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
negative,@united still waiting
negative,@AmericanAir It is now going to be reported to the police due to the sexual assult sad that you didn't care
negative,"@JetBlue Been dealing with a Cancelled Flightled flight since last night &amp; was booked to a 6:15 flight,wouldve at least liked to see Ella perform lol"
negative,@united What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago?
neutral,@VirginAmerica Flight Booking Problems flight to uphold my status match.  Do taxes on ticket count as earned status points?  #statusmatch #virginamerica
negative,"@USAirways &amp; there are seats together, they just have fees. Seems if I'm taking a 5am flight the least you can do is wave the $10."
positive,@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
negative,@JetBlue ruining vacations left and right. Who would have thought an airline can Cancelled Flight tickets without telling the buyer
negative,@USAirways pilot forgets to show up to work and Ricky J (gate agent) gives customers attitude. #usairwaysfail
positive,@united I especially like how you upgraded three of your crew members to first class instead of passengers. #keepitclassy #customerservice
negative,@JetBlue Are there issues with the mobile boarding passes? My app keeps crashing when I try accessing. Thanks!
negative,@AmericanAir @ti2469 oh shiz i'm only 40 minutes into my wait after the first 3 hour barrier ...unbelievable
negative,@SouthwestAir been on hold over an hr to rebook a Cancelled Flighted flight. Do you have anyone working???
negative,@SouthwestAir very frustrated. Bought early bird at 6:30am on day tickets were released and got mid-B ticket. Spend $50 for nothing
negative,"@USAirways worst customer service. ticket was 180 and fee is 200 it's ""not worth it"" for them accommodate me given circumstances in BOS"
positive,@JetBlue Airways Reveals 'Bluemanity' Livery - TravelPulse http://t.co/fTTfyFMvCO
negative,@AmericanAir .....and they waited 5 hours in a stuffy plane until they could get off then 7 more hrs to get their luggage  #AmericanAirlines
negative,@USAirways what's the deal with the flight computer network?
negative,"@SouthwestAir We did not get a single answer from any Southwest personnel. After an hour's wait. No apologies, no explanation."
negative,@USAirways agent won't hold for connection arriving Late Flight. 7 min before departure time but 3 min too Late Flight. Flt 1903 gate c19. Disappointed
negative,@AmericanAir if it I have not rebooked didn't get notified that it was Cancelled Flightled
negative,@USAirways @hhagerty that's a lie.
negative,@JetBlue I thought being a mosaic member had 'perks' the best part is instead of checking the extra 5lbs I'm carrying it on 😒
negative,@AmericanAir I lost my (basket) ballbag on your plane
positive,@SouthwestAir I love you Southwest. I accept all your flight attendants and their many talents always! #flySWA
negative,@united pls properly train your agents. Requested to speak to 1k customer service &amp; was transferred to a dead end. Not even open at this hr
negative,"@USAirways trying 2 fly frm DCA to SRQ to visit a family member in hospice but 4532 was Cancelled Flightled, can someone assist me?"
negative,"“@JetBlue: Our fleet's on fleek. http://t.co/Lv9HwQDK9A”

Can't fly you anymore, we had a good run ✌️"
neutral,@JetBlue Customer of the year? http://t.co/epqqONHO2H
negative,"@united a) she's an international. Her phone is on the fritz, I had to get to Chicago from nearly 4 hrs away to figure everything out."
negative,@JetBlue I do not want to deal with your customer service agents with no practical knowledge.Provide me with a direct contact.
neutral,@united patiently drinking and tweeting about my experience
negative,@USAirways did a pre schooler develop your app? The thing crashes every single time.
negative,@united I bought a ticket with a price that was published by mistake and now I got an email that indicates United Cancelled Flightled my ticket! Why?
negative,"@SouthwestAir disappointed in the 'service' I've received. Checked in online, checked my my flight status online, CHECKED IN AT THE AIRPORT"
negative,@AmericanAir we have been advised to turn this issue over to the police due to the sexual assult THANK YOU FOR ALLOWING THAT ON YOUR PLANE!
negative,"@USAirways is struggling. had me on hold for 25 minutes, kicked me back to the start, then said they couldnt handle the amount of calls"
negative,@JetBlue I just DM'd you!
neutral,"@JetBlue is your partnership with Hawaiian live? Earn Hawaiian miles flying Jetblue ? IF so, how do I add @HawaiianAir to my JB Flight Booking Problems ?"
negative,"@AmericanAir Nope, I have not been rebooked."
negative,@united flight 433 lets go you look like clowns no one is giving up 1st class for $500
negative,@united needs to pay for my car. I could have been on my flight if 4 help desks did not say it already left. Shame.
negative,@united is the worst airline. Lost my luggage delayed my flights and has been very unaccomidating
negative,@SouthwestAir understand weather is an issue but on time Cancelled Flighted reinstated Cancelled Flighted with hardly any updates and doing nothing for me= :(
neutral,@AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus)
negative,"@united my plane sounds like  a DJ  scratching is this normal? If so, will this eventually be a new entertainment fee."
negative,@nrhodes85: look! Another apology. DO NOT FLY @USAirways
negative,@united GRK13575M is the file reference
negative,@AmericanAir over the last year 50% of my flights have been delayed or Cancelled Flightled.  I'm done with you.
positive,@USAirways Absolutely!! The staff was amazing!!
neutral,@AmericanAir about when can I see a new American Airlines credit card to replace my USAIRWAYS dividend MasterCard?
negative,Haha! @JetBlue: Our fleet's on fleek. http://t.co/KmaNLdQbh4”
negative,"@SouthwestAir I was helped by a nice lady at PHX checkin. I spent 4 hours on hold in 24 hours, so might want to look at efficiency there."
negative,@united Please consider letting flyers with no overhead bin items board/deplane first (after first class). Make sense?
negative,@SouthwestAir in my 30 years of flying I have never been so pissed off.  To many incidents for just one flight.
neutral,@united I would like to know what's going on before his current flight lands.
negative,@SouthwestAir too Late Flight now
negative,"@AmericanAir No. Had to Cancelled Flight my trip. Instead of a $25 future trip voucher, a $25 drink coupon would've been better! #WakingInMemphis"
negative,@USAirways turns into @AmericanAir with such difficulty to past loyal customer. As a AA platinum flyer usair couldn't be more unhelpful. Why
negative,@United has two whole people trying to schedule a flight's worth of missed connections. Shameful http://t.co/6kqLhVaP7G
negative,"@AmericanAir sorry so Late Flight, responded to your DM."
positive,@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good
neutral,@JetBlue There's a large family of birds inside T5. Are they fed? Are they there for a purpose?
negative,@AmericanAir @USAirways So who do I need to talk to to ensure the statement is sent to my bank so I can get the credit for the charges?
negative,@united an efficient layout at kiosks/bag drop lines would help as there is no definition to space. Additional friendly and helpful staff
neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
positive,@USAirways thanks so much!
positive,@USAirways Thanks! Sent you DM re: baggage issues.
neutral,@AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?
neutral,@USAirways Fortunately you have staff like Lynn S. and DeeDee who actually understand customer service and simply being NICE.
negative,@AmericanAir 249 EWR - DFW is now stopping BNA to refuel 4 bad weather? Are YOU just trying to get the plane closer 2 DFW then Cancelled Flight on us?
positive,"@AmericanAir @dfwairport Guys, let it go. http://t.co/vOxcghciJi"
neutral,@USAirways how's us 1797 looking today?
negative,@AmericanAir it wasn't really about the delay. It was more about being told the engine needed to be troubleshot.  Makes a person paranoid.
neutral,@JetBlue I clear that folder regularly and JetBlue is white listed so it never got to me.
negative,@USAirways - been on hold with reservations for over 30 min already! #worstairline
neutral,@united @ehsanisMpowered lmfao
negative,@USAirways It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!
neutral,@united You please do not burn my dreams !!!  #burningman tickets sales today.
neutral,@VirginAmerica no A's channel this year?
negative,No no no bad airline bad! *bops you with newspaper* “@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”
negative,@AmericanAir Filled out a baggage claim over the phone last night. Check the status to discover the rep confused Arkansas for Alaska 😒
negative,@AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?
negative,@United I'm pretty sure I've got shin splits from SPRINTING through IAH only to watch my plane pull away from the jet way...
positive,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG
neutral,@JetBlue Hi! Does my upcoming flight 2168 from West Palm to HPN have Fly-Fi?
neutral,@JetBlue @vegecomgirl For me it’s not until 6/15.
neutral,@SouthwestAir sending now via dm
neutral,"@SouthwestAir So there were 134 early-bird check-ins, because I was told there were no flythroughs? Good flight, otherwise ~"
negative,@united that's not even an apology
negative,@united rude rude
positive,@VirginAmerica Thank you for the follow
negative,"@SouthwestAir @fox8news Serious potential for a wanna get away commercial out of this debacle.  But for real, you should fire @Kristi_Capel"
positive,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!
neutral,@united like continental's chicken feat fairs
neutral,@united I got an email from cust. care for an issue I had offering me a voucher. How do I claim that? I emailed back but got no reply. DM me
negative,@USAirways how do you manage to place a family of 5 into a plain with none of them sitting next to each other one of them being a 3yr old
neutral,"@united Yes, filled out the form last year. Don't have case number handy. Guess I'm not cut out for the historical society afterall"
negative,@USAirways Sadly your words don't represent your company's actions. Talk is cheap.
negative,"@united missed connection, wrong city, bags at Palm Springs, but not at hotel. I am seriously tired of being treated this way."
neutral,"@united yes, would love an upgrade or voucher,  please give me a call 9148445695"
negative,"@JetBlue there is no supervisor available, so they couldn't do anything."
positive,@AmericanAir thanks
negative,"@united Thank you. Yes, I was hoping to speak with someone directly, but appreciate the link nonetheless. :)"
positive,@AmericanAir thanks for following up- it finally worked!! Fingers crossed the new flight works.
negative,@USAirways I called the number and they said no one is available to take my call...guys this is insane
neutral,@united 6533 ORD to DCA
positive,@JetBlue haha. TY. Do you know what time that lane opens at Logan?
negative,"@AmericanAir You're clueless. A kind rez agnt contacted USAir 4me around midnite, told them what to do. If not that I'd have missed funeral."
neutral,@SouthwestAir is America's largest airline by passengers carried! Wonder if this is b/c they have a 'Customer Service Bible' #ANAmarketers
negative,@JetBlue does transferring trueblue points within family pooling members cost $? This is after having set up contribution-to-pool already.
